congressional_unit_id,associated_province,province_congressional_unit_number,representatives_count,districts
66,Tỉnh Đắk Lắk,3,3,"Thị xã Buôn Hồ, Huyện Ea H'Leo, Huyện Krông Búk, Huyện Krông Năng, Huyện Ea Kar"
67,Tỉnh Đắk Nông,1,3,"Huyện Krông Nô, Huyện Cư Jút, Huyện Đắk Mil"
68,Tỉnh Đắk Nông,2,3,"Thành phố Gia Nghĩa, Huyện Đắk Glong, Huyện Đắk R'Lấp"
69,Tỉnh Điện Biên,1,3,"Thành phố Điện Biên Phủ, Huyện Điện Biên Đông, Huyện Mường Ảng, Huyện Điện Biên"
70,Tỉnh Điện Biên,2,3,"Thị xã Mường Lay, Huyện Mường Chà, Huyện Nậm Pồ, Huyện Mường Nhé, Huyện Tuần Giáo, Huyện Tùa Chùa"
71,Tỉnh Đồng Nai,1,3,Thành phố Biên Hòa
72,Tỉnh Đồng Nai,2,3,"Huyện Vĩnh Cửu, Huyện Trảng Bom, Huyện Thống Nhất"
73,Tỉnh Đồng Nai,3,3,"Huyện Long Thành, Huyện Nhơn Trạch, Huyện Cẩm Mỹ"
74,Tỉnh Đồng Nai,4,3,"Thành phố Long Khánh, Huyện Xuân Lộc, Huyện Định Quán, Huyện Tân Phú"
75,Tỉnh Đồng Tháp,1,2,"Thành phố Hồng Ngự, Huyện Tân Hồng, Huyện Hồng Ngự, Huyện Tam Nông"
76,Tỉnh Đồng Tháp,2,3,"Thành phố Cao Lãnh, Huyện Thanh Bình, Huyện Cao Lãnh, Huyện Tháp Mười"
77,Tỉnh Đồng Tháp,3,3,"Thành phố Sa Đéc, Huyện Lấp Vò, Huyện Lai Vung, Huyện Châu Thành"
78,Tỉnh Gia Lai,1,3,"Thành phố Pleiku, Huyện Chư Pawh, Huyện Ia Grai, Huyện Đức Cơ, Huyện Chư Prông"
79,Tỉnh Gia Lai,2,2,"Thị xã An Khê, Huyện Kbang, Huyện Kông Chro, Huyện Đak Pơ, Huyện Mang Yang, Huyện Đak Hoa"
80,Tỉnh Gia Lai,3,3,"Thị xã Ayun Pa, Huyện Krông Pa, Huyện Ia Pa, Huyện Phú Thiện, Huyện Chư Sê, Huyện Chư Pưh"
81,Tỉnh Hà Giang,1,3,"Thành phố Hà Giang, Huyện Đồng Văn, Huyện Mèo Vạc, Huyện Yên Minh, Huyện Quản Bạ, Huyện Bắc Mê"
82,Tỉnh Hà Giang,2,3,"Huyện Vị Xuyên, Huyện Bắc Quang, Huyện Quang Bình, Huyện Hoàng Su Phi, Huyện Xín Mần"
83,Tỉnh Hà Nam,1,3,"Thành phố Phủ Lý, Huyện Thanh Liêm, Huyện Bình Lục"
84,Tỉnh Hà Nam,2,3,"Thị xã Duy Tiên, Huyện Kim Bảng, Huyện Lý Nhân"
85,Tỉnh Hà Tĩnh,1,3,"Thành phố Hà Tĩnh, Thị xã Kỳ Anh, Huyện Kỳ Anh, Huyện Cầm Xuyên, Huyện Hương Khê"
86,Tỉnh Hà Tĩnh,2,2,"Huyện Thạch Hà, Huyện Can Lộc, Huyện Nghi Xuân, Huyện Lộc Hà"
87,Tỉnh Hà Tĩnh,3,2,"Thị xã Hồng Lĩnh, Huyện Đức Thọ, Huyện Hương Sơn, Huyện Vũ Quang"
88,Tỉnh Hải Dương,1,2,"Thành phố Chí Linh, Thị xã Kinh Môn, Huyện Kim Thành"
89,Tỉnh Hải Dương,2,3,"Thành phố Hải Dương, Huyện Nam Sách, Huyện Thanh Hà"
90,Tỉnh Hải Dương,3,2,"Huyện Gia Lộc, Huyện Tứ Kỳ, Huyện Cầm Giàng"
91,Tỉnh Hải Dương,4,2,"Huyện Bình Giang, Huyện Thanh Miện, Huyện Ninh Giang"
92,Tỉnh Hậu Giang,1,3,"Thành phố Vị Thanh, Huyện Vị Thủy, Huyện Châu Thành, Huyện Thành A"
93,Tỉnh Hậu Giang,2,3,"Thành phố Ngã Bảy, Thị xã Long Mỹ, Huyện Phụng Hiệp, Huyện Long Mỹ"
94,Tỉnh Hòa Bình,1,3,"Thành phố Hòa Bình, Huyện Đà Bắc, Huyện Lương Sơn, Huyện Mai Châu, Huyện Tân Lạc"
95,Tỉnh Hòa Bình,2,3,"Huyện Kim Bôi, Huyện Cao Phong, Huyện Lạc Sơn, Huyện Lạc Thủy, Huyện Yên Thủy"
96,Tỉnh Hưng Yên,1,3,"Thành phố Hưng Yên, Huyện Kim Động, Huyện Khoái Châu, Huyện Yên Mỹ"
97,Tỉnh Hưng Yên,2,2,"Huyện Tiên Lữ, Huyện Phù Cừ, Huyện Ân Thi"
98,Tỉnh Hưng Yên,3,2,"Thị xã Mỹ Hào, Huyện Văn Giang, Huyện Văn Lâm"
99,Tỉnh Khánh Hòa,1,2,"Thị xã Ninh Hòa, Huyện Vạn Ninh"
100,Tỉnh Khánh Hòa,2,2,Thành phố Nha Trang
